stock_code,product_description,product_category,avg_unit_price,min_unit_price,max_unit_price,transaction_line_count,completed_line_count
21990,MODERN FLORAL STATIONERY SET,Retail Product,1.99,1.25,2.95,376,375
21991,BOHEMIAN COLLAGE STATIONERY SET,Retail Product,2.0,1.25,2.95,213,212
21992,VINTAGE PAISLEY STATIONERY SET,Retail Product,2.05,0.0,5.91,454,453
21993,FLORAL FOLK STATIONERY SET,Retail Product,2.01,1.25,5.91,433,432
22016,Dotcomgiftshop Gift Voucher £100.00,Retail Product,83.33,83.33,83.33,1,1
22021,BLUE FELT EASTER EGG BASKET,Retail Product,1.72,0.0,3.29,74,73
22023,EMPIRE BIRTHDAY CARD,Retail Product,0.6,0.42,0.85,149,148
22024,RAINY LADIES BIRTHDAY CARD,Retail Product,0.58,0.0,0.85,217,215
22025,RING OF ROSES BIRTHDAY CARD,Retail Product,0.55,0.0,0.85,134,132
22026,BANQUET BIRTHDAY  CARD,Retail Product,0.57,0.36,0.85,162,161
22027,TEA PARTY BIRTHDAY CARD,Retail Product,0.53,0.36,1.0,369,366
22028,PENNY FARTHING BIRTHDAY CARD,Retail Product,0.54,0.0,0.85,267,264
22029,SPACEBOY BIRTHDAY CARD,Retail Product,0.52,0.36,1.0,531,530
22030,SWALLOWS GREETING CARD,Retail Product,0.46,0.0,0.83,278,277
22031,BOTANICAL LAVENDER BIRTHDAY CARD,Retail Product,0.52,0.42,0.85,81,80
22032,BOTANICAL LILY GREETING CARD,Retail Product,0.45,0.42,0.83,60,60
22033,BOTANICAL ROSE GREETING CARD,Retail Product,0.42,0.0,0.83,23,22
22034,ROBIN CHRISTMAS CARD,Retail Product,0.32,0.0,0.83,9,4
22035,VINTAGE CARAVAN GREETING CARD,Retail Product,0.55,0.0,0.85,143,138
22036,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
22037,ROBOT BIRTHDAY CARD,Retail Product,0.53,0.36,0.85,359,359
22038,BOTANICAL LAVENDER GIFT WRAP,Retail Product,0.42,0.42,0.42,19,19
22039,BOTANICAL LILY GIFT WRAP,Retail Product,0.42,0.42,0.42,8,7
22040,BOTANICAL ROSE GIFT WRAP,Retail Product,0.42,0.42,0.42,28,28
22041,"RECORD FRAME 7"" SINGLE SIZE",Retail Product,3.66,2.1,5.79,369,365
22042,CHRISTMAS CARD SINGING ANGEL,Retail Product,0.42,0.0,0.83,42,40
22043,CHRISTMAS CARD SCREEN PRINT,Retail Product,0.29,0.0,0.43,66,64
22044,CHRISTMAS CARD STACK OF PRESENTS,Retail Product,0.25,0.0,0.42,37,36
22045,SPACEBOY GIFT WRAP,Retail Product,0.42,0.34,0.42,212,209
22046,TEA PARTY  WRAPPING PAPER,Retail Product,0.42,0.34,0.42,77,75
22047,EMPIRE GIFT WRAP,Retail Product,0.42,0.34,0.42,109,108
22048,BIRTHDAY BANQUET GIFT WRAP,Retail Product,0.42,0.34,0.42,33,32
22049,WRAP CHRISTMAS SCREEN PRINT,Retail Product,0.27,0.0,0.42,36,34
22050,PINK PAISLEY ROSE GIFT WRAP,Retail Product,0.4,0.0,0.42,43,40
22051,BLUE SCANDINAVIAN PAISLEY WRAP,Retail Product,0.41,0.0,0.42,41,40
22052,VINTAGE CARAVAN GIFT WRAP,Retail Product,0.39,0.0,0.42,31,27
22053,EMPIRE DESIGN ROSETTE,Retail Product,1.23,0.82,1.25,29,28
22055,MINI CAKE STAND  HANGING STRAWBERY,Retail Product,2.06,0.0,3.36,234,226
22057,CERAMIC PLATE STRAWBERRY DESIGN,Retail Product,1.42,0.39,3.29,65,61
22059,CERAMIC STRAWBERRY DESIGN MUG,Retail Product,1.6,0.39,3.36,192,184
22060,LARGE CAKE STAND HANGING HEARTS,Retail Product,5.21,0.0,9.95,45,37
22061,LARGE CAKE STAND  HANGING STRAWBERY,Retail Product,10.2,2.95,20.79,162,147
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,Retail Product,1.48,0.0,5.91,87,82
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,Retail Product,3.61,0.79,5.91,133,128
22064,PINK DOUGHNUT TRINKET POT,Retail Product,2.1,0.0,3.36,266,250
22065,CHRISTMAS PUDDING TRINKET POT,Retail Product,1.05,0.0,3.36,265,256
22066,LOVE HEART TRINKET POT,Retail Product,0.67,0.39,3.29,146,144
22067,CHOC TRUFFLE GOLD TRINKET POT,Retail Product,2.04,0.39,3.36,76,73
22068,BLACK PIRATE TREASURE CHEST,Retail Product,2.35,0.39,4.21,149,147
22069,BROWN  PIRATE TREASURE CHEST,Retail Product,3.19,0.39,4.21,148,148
22070,SMALL RED RETROSPOT MUG IN BOX,Retail Product,4.16,0.5,7.46,123,118
22071,SMALL WHITE RETROSPOT MUG IN BOX,Retail Product,3.8,0.5,7.62,94,89
22072,RED RETROSPOT TEA CUP AND SAUCER,Retail Product,3.94,0.0,7.62,181,171
22073,RED RETROSPOT STORAGE JAR,Retail Product,4.85,0.0,7.62,76,73
22074,6 RIBBONS SHIMMERING PINKS,Retail Product,1.4,0.39,4.21,202,201
22075,6 RIBBONS ELEGANT CHRISTMAS,Retail Product,1.77,0.39,4.21,206,205
22076,6 RIBBONS EMPIRE,Retail Product,1.61,0.39,4.21,227,227
22077,6 RIBBONS RUSTIC CHARM,Retail Product,2.2,1.45,4.95,986,980
22078,RIBBON REEL LACE DESIGN,Retail Product,2.59,0.0,4.81,203,201
22079,RIBBON REEL HEARTS DESIGN,Retail Product,2.03,1.45,4.21,334,331
22080,RIBBON REEL POLKADOTS,Retail Product,1.94,0.0,4.21,163,160
22081,RIBBON REEL FLORA + FAUNA,Retail Product,2.3,1.65,4.21,141,140
22082,RIBBON REEL STRIPES DESIGN,Retail Product,1.97,1.45,4.21,429,427
22083,PAPER CHAIN KIT RETROSPOT,Retail Product,3.75,2.55,6.77,619,614
22084,PAPER CHAIN KIT EMPIRE,Retail Product,3.2,0.0,6.95,457,446
22085,PAPER CHAIN KIT SKULLS,Retail Product,3.18,2.46,5.79,98,98
22086,PAPER CHAIN KIT 50'S CHRISTMAS,Retail Product,3.35,2.55,6.95,1210,1200
22087,PAPER BUNTING WHITE LACE,Retail Product,3.34,0.0,6.63,346,334
22088,PAPER BUNTING COLOURED LACE,Retail Product,3.55,0.0,5.91,245,240
22089,PAPER BUNTING VINTAGE PAISLEY,Retail Product,3.49,0.0,5.91,276,275
22090,PAPER BUNTING RETROSPOT,Retail Product,3.77,0.0,6.77,812,804
22091,EMPIRE TISSUE BOX,Retail Product,0.94,0.39,2.51,173,172
22092,BLUE PAISLEY TISSUE BOX,Retail Product,0.57,0.39,2.46,93,93
22093,MOTORING TISSUE BOX,Retail Product,0.6,0.39,2.51,168,167
22094,RED RETROSPOT TISSUE BOX,Retail Product,1.04,0.39,2.51,214,209
22095,LADS ONLY TISSUE BOX,Retail Product,1.14,0.39,2.51,157,155
22096,PINK PAISLEY SQUARE TISSUE BOX,Retail Product,0.64,0.39,2.51,127,126
22097,SWALLOW SQUARE TISSUE BOX,Retail Product,0.68,0.39,2.51,166,165
22098,BOUDOIR SQUARE TISSUE BOX,Retail Product,0.95,0.39,2.51,186,180
22099,CARAVAN SQUARE TISSUE BOX,Retail Product,0.95,0.39,2.51,165,164
22100,SKULLS SQUARE TISSUE BOX,Retail Product,1.18,0.39,2.51,61,61
22101,MIRROR MOSAIC VOTIVE HOLDER,Retail Product,2.24,0.39,2.51,70,69
22102,MIRROR MOSAIC T-LIGHT HOLDER,Retail Product,2.0,0.39,3.29,32,31
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,Retail Product,1.99,0.39,3.29,31,28
22104,MIRROR MOSAIC CANDLE PLATE,Retail Product,1.58,0.42,1.66,59,59
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,Retail Product,3.89,0.95,4.25,34,33
22106,MIRROR MOSAIC HURRICANE LAMP,Retail Product,5.09,1.25,6.75,49,47
22107,PIZZA PLATE IN BOX,Retail Product,4.2,1.25,7.62,188,184
22108,PING! MICROWAVE PLATE,Retail Product,3.11,1.25,3.75,63,63
22109,FULL ENGLISH BREAKFAST PLATE,Retail Product,5.44,0.0,7.62,307,301
22110,BIRD HOUSE HOT WATER BOTTLE,Retail Product,4.04,2.1,11.25,290,289
22111,SCOTTIE DOG HOT WATER BOTTLE,Retail Product,5.78,3.45,16.67,798,791
22112,CHOCOLATE HOT WATER BOTTLE,Retail Product,6.04,0.0,16.67,889,880
22113,GREY HEART HOT WATER BOTTLE,Retail Product,4.39,3.32,12.5,595,591
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Retail Product,4.97,0.0,9.95,660,650
22115,METAL SIGN EMPIRE TEA,Retail Product,2.35,0.79,5.91,230,230
22116,METAL SIGN HIS DINNER IS SERVED,Retail Product,1.47,0.79,5.91,149,148
22117,METAL SIGN HER DINNER IS SERVED,Retail Product,2.89,0.0,5.91,96,95
22118,JOY WOODEN BLOCK LETTERS,Retail Product,5.14,1.25,11.87,91,91
22119,PEACE WOODEN BLOCK LETTERS,Retail Product,6.31,1.95,14.13,114,113
22120,WELCOME  WOODEN BLOCK LETTERS,Retail Product,10.97,8.5,20.38,193,191
22121,NOEL WOODEN BLOCK LETTERS,Retail Product,6.61,0.0,11.87,141,135
22123,PING MICROWAVE APRON,Retail Product,3.0,0.79,5.95,124,124
22124,SET OF 2 TEA TOWELS PING MICROWAVE,Retail Product,2.46,0.79,5.79,77,77
22125,UNION JACK HOT WATER BOTTLE,Retail Product,7.84,0.0,12.95,4,3
22127,PARTY CONES CARNIVAL ASSORTED,Retail Product,2.05,0.0,12.72,25,23
22128,PARTY CONES CANDY ASSORTED,Retail Product,1.37,0.0,12.46,80,76
22129,PARTY CONES CANDY DECORATION,Retail Product,1.98,0.72,8.29,101,101
22130,PARTY CONE CHRISTMAS DECORATION,Retail Product,1.74,0.0,8.47,116,113
22131,FOOD CONTAINER SET 3 LOVE HEART,Retail Product,2.79,1.65,4.21,303,302
22132,RED LOVE HEART SHAPE CUP,Retail Product,1.2,0.72,1.66,155,154
22133,PINK LOVE HEART SHAPE CUP,Retail Product,1.29,0.72,1.66,133,133
22134,MINI LADLE LOVE HEART RED,Retail Product,0.65,0.36,0.85,164,164
22135,MINI LADLE LOVE HEART PINK,Retail Product,0.67,0.42,0.85,180,180
22136,LOVE HEART SOCK HANGER,Retail Product,2.26,0.0,3.36,89,87
22137,BATHROOM SET LOVE HEART DESIGN,Retail Product,3.12,2.55,5.79,14,14
22138,BAKING SET 9 PIECE RETROSPOT,Retail Product,5.33,0.7,10.79,974,947
22139,RETROSPOT TEA SET CERAMIC 11 PC,Retail Product,5.68,0.0,11.02,993,972
22141,CHRISTMAS CRAFT TREE TOP ANGEL,Retail Product,2.59,1.85,4.95,473,469
22142,CHRISTMAS CRAFT WHITE FAIRY,Retail Product,1.74,0.0,3.95,393,389
22143,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
22144,CHRISTMAS CRAFT LITTLE FRIENDS,Retail Product,2.57,1.85,4.95,563,560
22145,UNKNOWN_DESCRIPTION,Retail Product,0.7,0.0,2.1,3,1
22146,EASTER CRAFT IVY WREATH WITH CHICK,Retail Product,0.98,0.0,1.95,2,1
22147,FELTCRAFT BUTTERFLY HEARTS,Retail Product,1.63,0.0,4.21,507,498
22148,EASTER CRAFT 4 CHICKS,Retail Product,2.25,1.65,4.95,194,192
22149,FELTCRAFT 6 FLOWER FRIENDS,Retail Product,2.43,0.0,5.06,572,559
22150,3 STRIPEY MICE FELTCRAFT,Retail Product,2.27,1.65,5.06,483,479
22151,PLACE SETTING WHITE HEART,Retail Product,0.57,0.36,2.51,345,340
22152,PLACE SETTING WHITE STAR,Retail Product,0.55,0.0,1.66,113,110
22153,ANGEL DECORATION STARS ON DRESS,Retail Product,0.54,0.36,0.85,141,138
22154,ANGEL DECORATION 3 BUTTONS,Retail Product,0.54,0.36,0.85,172,169
22155,STAR DECORATION RUSTIC,Retail Product,0.57,0.0,0.85,153,151
22156,HEART DECORATION WITH PEARLS,Retail Product,1.15,0.72,1.66,276,263
22157,ANGEL DECORATION WITH LACE PADDED,Retail Product,0.78,0.0,0.85,12,11
22158,3 HEARTS HANGING DECORATION RUSTIC,Retail Product,3.32,0.0,6.95,324,315
22161,HEART DECORATION RUSTIC HANGING,Retail Product,0.59,0.19,1.63,363,362
22162,HEART GARLAND RUSTIC PADDED,Retail Product,3.1,0.0,5.91,98,92
22163,HEART STRING MEMO HOLDER HANGING,Retail Product,1.76,0.0,3.36,127,124
22164,STRING OF STARS CARD HOLDER,Retail Product,3.31,0.0,5.91,16,15
22165,"DIAMANTE HEART SHAPED WALL MIRROR,",Retail Product,11.88,3.95,25.49,148,147
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,Retail Product,11.96,2.95,16.13,89,87
22167,OVAL WALL MIRROR DIAMANTE,Retail Product,10.68,0.0,20.38,162,157
22168,ORGANISER WOOD ANTIQUE WHITE,Retail Product,8.11,0.0,8.5,89,76
22169,FAMILY ALBUM WHITE PICTURE FRAME,Retail Product,10.06,5.64,16.98,390,373
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,Retail Product,7.72,4.62,13.57,270,265
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,Retail Product,9.86,0.0,16.98,406,386
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,Retail Product,3.8,0.0,5.91,509,500
22174,PHOTO CUBE,Retail Product,2.58,1.25,4.21,331,331
22175,PINK OWL SOFT TOY,Retail Product,3.45,2.55,5.91,175,173
22176,BLUE OWL SOFT TOY,Retail Product,3.25,0.0,5.91,122,118
22178,VICTORIAN GLASS HANGING T-LIGHT,Retail Product,1.65,0.9,14.75,1072,1047
22179,SET 10 NIGHT OWL LIGHTS,Retail Product,8.93,5.79,13.57,299,293
22180,RETROSPOT LAMP,Retail Product,11.25,0.0,21.23,170,156
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,Retail Product,0.98,0.0,1.66,60,57
22182,CAKE STAND VICTORIAN FILIGREE SMALL,Retail Product,4.34,1.25,9.96,126,124
22183,CAKE STAND VICTORIAN FILIGREE MED,Retail Product,5.93,3.0,13.29,131,129
22184,CAKE STAND VICTORIAN FILIGREE LARGE,Retail Product,8.21,0.0,8.5,38,35
22185,SLATE TILE NATURAL HANGING,Retail Product,1.94,0.79,3.95,166,166
22186,RED STAR CARD HOLDER,Retail Product,3.02,1.95,5.91,154,150
22187,GREEN CHRISTMAS TREE CARD HOLDER,Retail Product,3.93,1.95,8.47,197,194
22188,BLACK HEART CARD HOLDER,Retail Product,4.35,2.31,8.47,191,190
22189,CREAM HEART CARD HOLDER,Retail Product,4.44,2.31,8.47,536,531
22190,LOCAL CAFE MUG,Retail Product,2.18,0.39,2.51,117,117
22191,IVORY DINER WALL CLOCK,Retail Product,8.83,7.65,16.98,441,425
22192,BLUE DINER WALL CLOCK,Retail Product,9.01,0.0,16.98,373,365
22193,RED DINER WALL CLOCK,Retail Product,9.22,7.65,16.98,472,463
22194,BLACK DINER WALL CLOCK,Retail Product,9.15,0.0,16.98,48,44
22195,LARGE HEART MEASURING SPOONS,Retail Product,2.35,1.45,3.36,382,381
22196,SMALL HEART MEASURING SPOONS,Retail Product,1.22,0.72,1.66,489,485
22197,POPCORN HOLDER,Retail Product,1.03,0.72,2.46,1476,1426
22198,LARGE POPCORN HOLDER,Retail Product,2.1,0.0,3.36,103,86
22199,FRYING PAN RED RETROSPOT,Retail Product,5.26,1.25,8.47,170,168
22200,FRYING PAN PINK POLKADOT,Retail Product,5.89,1.25,8.47,142,141
22201,FRYING PAN BLUE POLKADOT,Retail Product,4.25,0.0,8.47,90,87
22202,MILK PAN PINK POLKADOT,Retail Product,5.1,0.0,7.62,42,37
22203,MILK PAN RED RETROSPOT,Retail Product,4.44,0.0,7.62,148,145
22204,MILK PAN BLUE POLKADOT,Retail Product,3.71,1.25,7.46,82,80
22206,"MUG , DOTCOMGIFTSHOP.COM",Retail Product,0.83,0.83,0.85,5,5
22207,FRYING PAN UNION FLAG,Retail Product,6.13,3.75,8.47,213,209
22208,WOOD STAMP SET THANK YOU,Retail Product,1.27,0.5,3.36,293,291
22209,WOOD STAMP SET HAPPY BIRTHDAY,Retail Product,1.19,0.5,3.36,179,178
22210,WOOD STAMP SET BEST WISHES,Retail Product,1.13,0.5,3.36,195,195
22211,WOOD STAMP SET FLOWERS,Retail Product,1.29,0.5,3.36,203,202
22212,FOUR HOOK  WHITE LOVEBIRDS,Retail Product,2.81,1.69,4.21,418,410
22214,CANDLE PLATE LACE WHITE,Retail Product,2.63,0.79,4.96,56,56
22215,CAKE STAND WHITE TWO TIER LACE,Retail Product,8.51,2.95,16.98,103,101
22216,T-LIGHT HOLDER WHITE LACE,Retail Product,1.12,0.29,1.66,68,68
22217,T-LIGHT HOLDER HANGING LACE,Retail Product,1.3,0.0,2.51,85,83
22218,CAKE STAND LACE WHITE,Retail Product,2.12,0.0,4.25,2,1
22219,LOVEBIRD HANGING DECORATION WHITE,Retail Product,1.18,0.0,1.66,561,557
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,Retail Product,9.99,2.95,20.38,96,87
22221,CAKE STAND LOVEBIRD 2 TIER PINK,Retail Product,10.59,2.95,20.38,53,51
22222,CAKE PLATE LOVEBIRD WHITE,Retail Product,5.44,1.95,10.17,222,222
22223,CAKE PLATE LOVEBIRD PINK,Retail Product,5.3,1.95,10.17,79,79
22224,WHITE LOVEBIRD LANTERN,Retail Product,3.72,2.55,5.91,168,166
22227,HANGING HEART MIRROR DECORATION,Retail Product,0.89,0.55,1.28,303,301
22228,BUNNY WOODEN PAINTED WITH BIRD,Retail Product,0.93,0.39,1.63,149,148
22229,BUNNY WOODEN PAINTED WITH FLOWER,Retail Product,0.93,0.39,1.63,104,103
22230,JIGSAW TREE WITH WATERING CAN,Retail Product,0.79,0.29,1.63,108,104
22231,JIGSAW TREE WITH BIRDHOUSE,Retail Product,1.22,0.59,3.29,158,149
22232,JIGSAW TOADSTOOLS 3 PIECE,Retail Product,1.07,0.59,3.29,88,83
22233,JIGSAW RABBIT AND BIRDHOUSE,Retail Product,1.29,0.59,3.29,113,109
22236,CAKE STAND 3 TIER MAGIC GARDEN,Retail Product,12.51,10.95,12.75,99,88
22241,GARLAND WOODEN HAPPY EASTER,Retail Product,1.6,1.06,2.51,247,244
22242,5 HOOK HANGER MAGIC TOADSTOOL,Retail Product,1.81,0.0,3.36,40,34
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,Retail Product,1.92,1.45,3.95,137,134
22244,3 HOOK HANGER MAGIC GARDEN,Retail Product,2.76,0.0,4.21,171,162
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",Retail Product,1.15,0.0,1.66,104,100
22246,MAGIC GARDEN FELT GARLAND,Retail Product,2.81,1.63,4.21,91,90
22247,BUNNY DECORATION MAGIC GARDEN,Retail Product,1.02,0.72,1.63,118,118
22248,DECORATION  PINK CHICK MAGIC GARDEN,Retail Product,1.04,0.72,1.66,114,112
22249,DECORATION WHITE CHICK MAGIC GARDEN,Retail Product,1.0,0.72,1.63,157,156
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,Retail Product,1.05,0.72,1.66,150,149
22251,BIRDHOUSE DECORATION MAGIC GARDEN,Retail Product,1.52,0.83,2.51,143,140
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,Retail Product,1.24,1.06,1.25,72,71
22254,FELT TOADSTOOL LARGE,Retail Product,1.62,1.06,2.46,61,61
22255,FELT TOADSTOOL  SMALL,Retail Product,1.19,0.85,1.66,77,77
22256,FELT FARM ANIMAL CHICKEN,Retail Product,1.58,1.25,2.51,56,56
22257,FELT FARM ANIMAL SHEEP,Retail Product,1.1,0.42,2.46,44,44
22258,FELT FARM ANIMAL RABBIT,Retail Product,1.32,0.42,2.46,79,77
22259,FELT FARM ANIMAL HEN,Retail Product,1.05,0.42,2.46,45,45
22260,FELT EGG COSY BLUE RABBIT,Retail Product,1.27,0.85,1.66,108,107
22261,FELT EGG COSY WHITE RABBIT,Retail Product,1.12,0.85,1.66,117,116
22262,FELT EGG COSY CHICKEN,Retail Product,1.1,0.85,1.66,146,144
22263,FELT EGG COSY LADYBIRD,Retail Product,1.04,0.19,1.66,55,54
22264,FELT FARM ANIMAL WHITE BUNNY,Retail Product,1.03,0.19,1.66,100,100
22265,EASTER DECORATION NATURAL CHICK,Retail Product,0.78,0.65,1.28,71,71
22266,EASTER DECORATION HANGING BUNNY,Retail Product,0.57,0.19,1.25,100,100
22267,EASTER DECORATION EGG BUNNY,Retail Product,1.09,0.39,2.46,85,85
22268,DECORATION SITTING BUNNY,Retail Product,0.72,0.0,1.66,168,164
22269,EGG CUP NATURAL CHICKEN,Retail Product,1.04,0.39,2.51,127,127
22270,HAPPY EASTER HANGING DECORATION,Retail Product,4.37,3.39,7.46,59,56
22271,FELTCRAFT DOLL ROSIE,Retail Product,3.36,0.0,5.91,311,308
22272,FELTCRAFT DOLL MARIA,Retail Product,2.89,0.0,5.91,53,49
22273,FELTCRAFT DOLL MOLLY,Retail Product,3.25,2.3,5.91,344,338
22274,FELTCRAFT DOLL EMILY,Retail Product,3.32,2.55,5.91,276,274
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,Retail Product,7.65,7.65,7.65,1,1
22276,WASH BAG VINTAGE ROSE PAISLEY,Retail Product,3.27,0.0,5.91,88,85
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,Retail Product,2.61,1.63,4.21,100,100
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,Retail Product,7.31,4.13,11.02,186,183
22279,POCKET BAG BLUE PAISLEY RED SPOT,Retail Product,1.41,0.83,4.13,134,133
22280,POCKET BAG PINK PAISELY BROWN SPOT,Retail Product,1.29,0.83,2.46,97,97
22281,EASTER TREE YELLOW BIRDS,Retail Product,7.99,5.95,12.72,64,64
22282,12 EGG HOUSE PAINTED WOOD,Retail Product,17.17,10.95,25.49,100,99
22283,6 EGG HOUSE PAINTED WOOD,Retail Product,9.91,7.95,16.13,158,156
22284,HEN HOUSE DECORATION,Retail Product,2.02,1.65,3.36,138,136
22285,HANGING HEN ON NEST DECORATION,Retail Product,2.04,1.65,3.36,124,124
22286,DECORATION WOBBLY RABBIT METAL,Retail Product,1.59,0.0,3.36,119,118
22287,DECORATION WOBBLY CHICKEN,Retail Product,1.52,0.39,3.36,83,82
22288,HANGING METAL RABBIT DECORATION,Retail Product,1.6,1.25,2.51,63,63
22289,HANGING METAL CHICKEN DECORATION,Retail Product,1.48,1.25,2.51,37,37
22291,HANGING CHICK CREAM DECORATION,Retail Product,1.62,1.25,2.92,128,127
22292,HANGING CHICK  YELLOW DECORATION,Retail Product,1.59,1.25,2.98,119,119
22293,HANGING CHICK GREEN DECORATION,Retail Product,1.71,1.25,2.98,129,129
22294,HEART FILIGREE DOVE  SMALL,Retail Product,1.45,1.06,2.51,317,314
22295,HEART FILIGREE DOVE LARGE,Retail Product,1.9,1.45,3.36,261,260
22296,HEART IVORY TRELLIS LARGE,Retail Product,1.88,1.45,3.36,333,332
22297,HEART IVORY TRELLIS SMALL,Retail Product,1.74,1.06,2.51,389,389
22299,PIG KEYRING WITH LIGHT & SOUND,Retail Product,1.71,0.39,2.51,83,80
22300,COFFEE MUG DOG + BALL DESIGN,Retail Product,3.08,0.0,5.06,205,199
22301,COFFEE MUG CAT + BIRD DESIGN,Retail Product,3.11,0.0,5.06,270,256
22302,COFFEE MUG PEARS  DESIGN,Retail Product,2.72,1.12,4.96,217,214
22303,COFFEE MUG APPLES DESIGN,Retail Product,2.75,1.12,5.06,273,263
22304,COFFEE MUG BLUE PAISLEY DESIGN,Retail Product,3.11,1.12,5.06,62,62
22305,COFFEE MUG PINK PAISLEY DESIGN,Retail Product,3.0,2.1,5.06,52,51
22306,SILVER MUG BONE CHINA TREE OF LIFE,Retail Product,1.81,1.06,8.47,119,115
22307,GOLD MUG BONE CHINA TREE OF LIFE,Retail Product,2.15,1.06,8.47,80,75
22308,TEA COSY BLUE STRIPE,Retail Product,4.21,2.1,5.06,105,105
22309,TEA COSY RED  STRIPE,Retail Product,3.73,2.1,5.06,123,123
22310,IVORY KNITTED MUG COSY,Retail Product,2.58,1.45,3.36,111,111
22311,OFFICE MUG WARMER BLACK+SILVER,Retail Product,4.03,2.55,8.47,151,149
22312,OFFICE MUG WARMER POLKADOT,Retail Product,3.59,1.25,8.29,139,137
22313,OFFICE MUG WARMER PINK,Retail Product,3.5,1.25,8.47,68,67
22314,OFFICE MUG WARMER CHOC+BLUE,Retail Product,3.95,1.25,8.47,137,136
22315,200 RED + WHITE BENDY STRAWS,Retail Product,1.46,1.06,2.51,175,175
22316,200 BENDY SKULL STRAWS,Retail Product,1.37,1.06,2.51,57,56
22317,FIVE CATS HANGING DECORATION,Retail Product,3.65,2.46,5.91,90,90
22318,FIVE HEART HANGING DECORATION,Retail Product,3.97,2.55,5.91,145,143
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,Retail Product,0.57,0.19,0.65,64,63
22320,BIRDS MOBILE VINTAGE DESIGN,Retail Product,6.25,5.95,11.63,77,73
22321,BIRD DECORATION RED RETROSPOT,Retail Product,1.28,0.85,1.66,134,133
22322,BIRD DECORATION GREEN POLKADOT,Retail Product,1.13,0.79,1.66,140,139
22323,PINK POLKADOT KIDS BAG,Retail Product,0.98,0.0,1.95,2,1
22324,BLUE POLKADOT KIDS BAG,Retail Product,3.44,1.65,4.21,75,75
22325,MOBILE VINTAGE HEARTS,Retail Product,5.08,3.29,11.87,100,94
22326,ROUND SNACK BOXES SET OF4 WOODLAND,Retail Product,3.45,2.55,6.77,764,746
22327,ROUND SNACK BOXES SET OF 4 SKULLS,Retail Product,4.24,0.0,6.77,306,298
22328,ROUND SNACK BOXES SET OF 4 FRUITS,Retail Product,3.26,2.55,6.77,611,595
22329,ROUND CONTAINER SET OF 5 RETROSPOT,Retail Product,2.06,1.45,3.36,243,240
22331,WOODLAND PARTY BAG + STICKER SET,Retail Product,2.0,1.45,3.36,185,183
22332,SKULLS PARTY BAG + STICKER SET,Retail Product,1.79,1.45,3.29,154,150
22333,RETROSPOT PARTY BAG + STICKER SET,Retail Product,1.87,1.45,3.36,334,322
22334,DINOSAUR PARTY BAG + STICKER SET,Retail Product,1.79,1.45,3.29,102,102
22335,HEART DECORATION PAINTED ZINC,Retail Product,0.91,0.55,1.28,235,235
22336,DOVE DECORATION PAINTED ZINC,Retail Product,0.61,0.0,1.28,86,83
22337,ANGEL DECORATION PAINTED ZINC,Retail Product,0.71,0.55,1.28,78,78
22338,STAR DECORATION PAINTED ZINC,Retail Product,0.44,0.19,1.28,189,187
22339,CHRISTMAS TREE PAINTED ZINC,Retail Product,0.43,0.0,1.28,91,88
22340,NOEL GARLAND PAINTED ZINC,Retail Product,0.77,0.39,3.36,131,130
22341,LOVE GARLAND PAINTED ZINC,Retail Product,2.47,1.45,3.36,78,78
22342,HOME GARLAND PAINTED ZINC,Retail Product,1.83,0.75,3.36,130,128
22343,PARTY PIZZA DISH RED RETROSPOT,Retail Product,0.6,0.19,1.66,96,95
22344,PARTY PIZZA DISH PINK POLKADOT,Retail Product,0.63,0.19,1.66,77,77
22345,PARTY PIZZA DISH BLUE POLKADOT,Retail Product,0.6,0.19,1.66,75,74
22346,PARTY PIZZA DISH GREEN POLKADOT,Retail Product,0.59,0.19,1.66,61,61
22348,TEA BAG PLATE RED RETROSPOT,Retail Product,1.08,0.72,1.95,364,363
22349,DOG BOWL CHASING BALL DESIGN,Retail Product,4.12,2.46,7.62,135,133
22350,ILLUSTRATED CAT BOWL,Retail Product,3.06,0.0,5.06,125,121
